id,nepali_name,sanskrit_name,author_rishi,subject,type,tradition
HG0001,ईश उपनिषद्,ईश उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0002,केन उपनिषद्,केन उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0003,कठ उपनिषद्,कठ उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0004,प्रश्न उपनिषद्,प्रश्न उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0005,मुण्डक उपनिषद्,मुण्डक उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0006,माण्डूक्य उपनिषद्,माण्डूक्य उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0007,तैत्तिरीय उपनिषद्,तैत्तिरीय उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0008,ऐतरेय उपनिषद्,ऐतरेय उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0009,छान्दोग्य उपनिषद्,छान्दोग्य उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0010,बृहदारण्यक उपनिषद्,बृहदारण्यक उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0011,ब्रह्म उपनिषद्,ब्रह्म उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0012,कैवल्य उपनिषद्,कैवल्य उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0013,जाबाल उपनिषद्,जाबाल उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0014,श्वेताश्वतर उपनिषद्,श्वेताश्वतर उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0015,हंस उपनिषद्,हंस उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0016,अरुणेय उपनिषद्,अरुणेय उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0017,गर्भ उपनिषद्,गर्भ उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0018,नारायण उपनिषद्,नारायण उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0019,परमहंस उपनिषद्,परमहंस उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0020,अमृतबिन्दु उपनिषद्,अमृतबिन्दु उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0021,अमृतनाद उपनिषद्,अमृतनाद उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0022,अथर्वशिरस् उपनिषद्,अथर्वशिरस् उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0023,अथर्वशिखा उपनिषद्,अथर्वशिखा उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0024,मैत्रायणीय उपनिषद्,मैत्रायणीय उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0025,कौषीतकी उपनिषद्,कौषीतकी उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0026,बृहज्जाबाल उपनिषद्,बृहज्जाबाल उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0027,नृसिंहतापनीय उपनिषद्,नृसिंहतापनीय उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0028,कालाग्निरुद्र उपनिषद्,कालाग्निरुद्र उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0029,मैत्रेयी उपनिषद्,मैत्रेयी उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0030,सुबाल उपनिषद्,सुबाल उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0031,मन्त्रिक उपनिषद्,मन्त्रिक उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0032,निरालम्ब उपनिषद्,निरालम्ब उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0033,पैङ्गल उपनिषद्,पैङ्गल उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0034,अध्यात्म उपनिषद्,अध्यात्म उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0035,मण्डलब्राह्मण उपनिषद्,मण्डलब्राह्मण उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0036,अद्वयतारक उपनिषद्,अद्वयतारक उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0037,जाबालदर्शन उपनिषद्,जाबालदर्शन उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0038,पाशुपत उपनिषद्,पाशुपत उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0039,महावाक्य उपनिषद्,महावाक्य उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0040,सर्वसार उपनिषद्,सर्वसार उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0041,शुकरहस्य उपनिषद्,शुकरहस्य उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0042,स्कन्द उपनिषद्,स्कन्द उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0043,शारीरक उपनिषद्,शारीरक उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0044,एकाक्षर उपनिषद्,एकाक्षर उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0045,अक्षि उपनिषद्,अक्षि उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0046,प्राणाग्निहोत्र उपनिषद्,प्राणाग्निहोत्र उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0047,वराह उपनिषद्,वराह उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0048,योगतत्त्व उपनिषद्,योगतत्त्व उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0049,योगशिखा उपनिषद्,योगशिखा उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0050,योगकुण्डलिनी उपनिषद्,योगकुण्डलिनी उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0051,ध्यानबिन्दु उपनिषद्,ध्यानबिन्दु उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0052,तेजोबिन्दु उपनिषद्,तेजोबिन्दु उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0053,ब्रह्मविद्या उपनिषद्,ब्रह्मविद्या उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0054,क्षुरिका उपनिषद्,क्षुरिका उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0055,योगचूडामणि उपनिषद्,योगचूडामणि उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0056,दर्शन उपनिषद्,दर्शन उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0057,वज्रसूची उपनिषद्,वज्रसूची उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0058,सावित्री उपनिषद्,सावित्री उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0059,महत उपनिषद्,महत उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0060,कुण्डिका उपनिषद्,कुण्डिका उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0061,संन्यास उपनिषद्,संन्यास उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0062,अव्यक्त उपनिषद्,अव्यक्त उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0063,वासुदेव उपनिषद्,वासुदेव उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
